ax,ay,az,gx,gy,gz
-10.2089,-1.9776,1.0918,-0.494,0.5446,-0.1402
-10.0628,-1.9369,0.9481,-0.4695,0.6656,-0.1607
-9.6774,-1.9728,0.7901,-0.4453,0.7389,-0.1793
-9.2799,-1.9609,0.4764,-0.4298,0.7576,-0.2014
-8.9663,-1.9297,-0.2777,-0.4104,0.7466,-0.2089
-8.6263,-1.7238,-0.8763,-0.3842,0.6851,-0.1969
-8.6503,-1.6328,-1.1803,-0.3331,0.6342,-0.2102
-8.442,-1.6113,-1.6281,-0.2705,0.4978,-0.174
-8.2696,-1.6113,-1.9872,-0.2276,0.4463,-0.1487
-8.5497,-1.652,-2.4157,-0.1759,0.4367,-0.1364
-8.6,-1.731,-2.466,-0.1053,0.3762,-0.1042
-8.6191,-1.7693,-2.4014,-0.0754,0.311,-0.0759
-8.6886,-1.8914,-2.4062,-0.0799,0.2545,-0.044
-8.8274,-1.9034,-2.5642,-0.0941,0.2009,0.0069
-9.335,-2.1284,-2.5259,-0.1476,0.1045,0.0397
-9.2129,-2.2218,-1.5347,-0.2068,0.0306,0.0533
-9.3996,-2.1261,-0.3759,-0.2132,0.0938,0.069
-9.8976,-2.1117,0.6919,-0.2073,0.2158,0.0679
-10.5321,-2.2051,1.075,-0.2126,0.3126,0.0514
-10.3549,-2.2984,1.2258,-0.2745,0.3392,0.0325
-9.6558,-2.296,1.2594,-0.3624,0.4349,0.0051
-9.2823,-2.1117,1.2234,-0.4266,0.5958,-0.0509
-8.9519,-1.9178,0.8332,-0.4551,0.7072,-0.0863
-8.6311,-1.7861,0.1891,-0.4655,0.7695,-0.0845
-8.2911,-1.6544,-0.5052,-0.462,0.8013,-0.0741
-8.0373,-1.5897,-0.9744,-0.4287,0.7989,-0.0842
-7.7907,-1.549,-1.4006,-0.3608,0.7506,-0.1002
-7.6974,-1.6017,-1.7214,-0.2771,0.6688,-0.1178
-7.7285,-1.7214,-2.0446,-0.2025,0.5524,-0.1287
-7.7931,-1.7861,-2.2553,-0.149,0.401,-0.1551
-7.7357,-1.9225,-2.4157,-0.1188,0.2393,-0.1615
-7.9416,-1.9417,-2.6001,-0.0943,0.1116,-0.1537
-8.1211,-1.9225,-2.6671,-0.0826,-0.0037,-0.1202
-8.4204,-2.0063,-2.8132,-0.0711,-0.0719,-0.0997
-8.7029,-2.0423,-2.7222,-0.0693,-0.1053,-0.0829
-8.8298,-2.0016,-2.5163,-0.069,-0.0871,-0.0594
-9.0908,-1.9297,-2.3176,-0.0757,-0.0642,-0.037
-9.1913,-1.9896,-2.0997,-0.0943,-0.048,-0.0213
-9.2919,-2.0111,-2.0279,-0.1236,-0.0482,-0.0035
-9.1626,-1.9704,-1.8004,-0.1492,-0.0602,0.0168
-9.1746,-1.8364,-1.5993,-0.1548,-0.0224,0.0184
-9.4188,-1.8316,-1.5443,-0.1569,0.0192,0.0211
-9.4499,-1.8244,-1.5802,-0.1591,0.0496,0.0237
-9.3182,-1.8651,-1.7813,-0.1633,0.0922,0.024
-9.1004,-1.8603,-1.8675,-0.1633,0.1372,0.0187
-8.8514,-1.8028,-1.9513,-0.1487,0.1772,0.0115
-8.5688,-1.7909,-1.9201,-0.1287,0.2044,0.0117
-8.497,-1.7095,-2.0662,-0.1029,0.2284,0.0053
-8.2791,-1.743,-1.98,-0.0815,0.2041,0.0048
-8.1379,-1.7573,-1.9896,-0.0549,0.1759,0.0125
-8.1451,-1.7909,-1.9824,-0.0362,0.1516,0.0157
-8.272,-1.8842,-1.7645,-0.028,0.1186,0.0128
-8.4348,-1.8675,-1.743,-0.0285,0.0917,0.0152
-8.7436,-1.8866,-1.6688,-0.0352,0.0637,0.024
-8.9639,-1.8603,-1.5155,-0.0464,0.0528,0.0336
-9.177,-1.8148,-1.5083,-0.0493,0.0506,0.0341
-9.2153,-1.8028,-1.5897,-0.048,0.0725,0.0253
-9.2296,-1.8292,-1.6161,-0.0424,0.0973,0.0229
-9.0956,-1.8268,-1.5993,-0.0386,0.1218,0.0272
-9.0621,-1.8028,-1.719,-0.0437,0.1356,0.0285
-9.0022,-1.822,-1.8866,-0.0501,0.1311,0.0344
-9.019,-1.7765,-1.9249,-0.0544,0.137,0.0392
-8.9471,-1.7813,-1.9058,-0.0482,0.1383,0.0357
-8.8777,-1.7454,-1.8962,-0.0309,0.1535,0.0306
-8.8083,-1.7933,-1.822,-0.012,0.1431,0.024
-8.7221,-1.8771,-1.9082,0.0003,0.1116,0.0189
-8.7149,-1.8818,-2.0423,0.0056,0.0674,0.0176
-8.691,-1.9417,-2.1548,0.004,0.0053,0.0168
-8.7532,-1.8675,-2.1524,0.0053,-0.049,0.0107
-8.7747,-1.8627,-2.2482,0.0136,-0.085,0.0061
-8.8562,-1.8603,-2.2865,0.0277,-0.1106,0.0048
-8.8657,-1.8172,-2.3367,0.0426,-0.1236,0.0043
-8.9232,-1.8435,-2.4062,0.0624,-0.138,0.012
-8.9926,-1.8555,-2.387,0.0719,-0.1809,0.0112
-8.8705,-1.913,-2.1739,0.064,-0.2116,0.0067
-8.9352,-1.9752,-1.7909,0.0613,-0.2129,0.0083
-9.0812,-1.9656,-1.4581,0.0671,-0.1998,0.0029
-9.2512,-2.0087,-1.6305,0.0669,-0.1652,-0.0003
-9.2967,-2.0111,-1.7095,0.0695,-0.126,0.0013
-9.2296,-2.0063,-1.6783,0.0781,-0.0786,-0.0013
-9.2033,-1.8914,-1.5514,0.0959,-0.037,-0.004
-9.2057,-1.8531,-1.4413,0.1092,-0.0213,-0.012
-9.3494,-1.8818,-1.4581,0.1124,-0.032,-0.016
-9.1219,-1.9513,-1.4581,0.1119,-0.052,-0.0168
-9.1123,-1.9465,-1.4964,0.1148,-0.0544,-0.0123
-9.5074,-1.901,-1.2402,0.1159,-0.1085,-0.0091
-9.596,-1.8771,-0.7901,0.1148,-0.2364,-0.0091
-9.675,-1.9201,-0.3567,0.1159,-0.2811,-0.0136
-9.6462,-2.0758,0.1413,0.1164,-0.2643,-0.0325
-9.6199,-2.2841,0.4286,0.1018,-0.2118,-0.0794
-9.6127,-2.49,0.4525,0.0416,-0.2467,-0.1092
-9.1602,-2.557,0.5986,-0.0131,-0.3741,-0.1122
-8.4611,-2.399,0.8523,-0.0301,-0.4239,-0.1085
-8.7819,-2.4876,0.7159,-0.0432,-0.4104,-0.1327
-9.019,-2.5522,0.6656,-0.0554,-0.5151,-0.1863
-8.6742,-2.5762,0.0168,-0.0501,-0.5692,-0.1927
-8.9783,-2.6384,-0.3879,-0.0147,-0.5542,-0.1647
-9.6175,-2.715,-0.1293,-0.0298,-0.7346,-0.178
-9.4475,-2.9281,0.4764,-0.0655,-0.9316,-0.2406
-9.1842,-3.055,0.972,-0.06,-0.923,-0.3011
-9.3853,-3.3519,1.0463,-0.0765,-0.8665,-0.3608
-8.9663,-3.6775,0.1077,-0.1394,-0.8996,-0.396
-8.1116,-3.5075,-1.2689,-0.1247,-0.8777,-0.3531
-8.1666,-3.1819,-2.49,-0.0253,-0.8013,-0.2822
-8.4707,-2.8994,-3.7493,0.1492,-0.8116,-0.2377
-7.9942,-2.5235,-4.9536,0.3179,-0.7789,-0.2196
-7.6231,-2.3224,-6.2513,0.4687,-0.7088,-0.1958
-6.9911,-1.9441,-6.4955,0.6273,-0.5742,-0.1511
-7.2975,-1.4413,-5.8921,0.7661,-0.5241,-0.0586
-7.4723,-1.1899,-5.5545,0.8455,-0.5476,0.0157
-8.3558,-1.1564,-5.6862,0.9385,-0.5297,0.0536
-8.9376,-1.1277,-5.4827,1.0179,-0.4866,0.0898
-8.9974,-1.1444,-5.205,1.0605,-0.4229,0.1506
-8.8322,-0.9792,-4.5538,1.0674,-0.3456,0.214
