ax,ay,az,gx,gy,gz
-2.5019,-0.51,-9.4164,-0.4658,-1.9502,0.1266
-2.3583,-0.4118,-9.8809,-0.4037,-1.9894,0.0917
-2.2362,-0.4788,-10.0796,-0.3288,-2.0893,0.0112
-2.478,-0.668,-10.0197,-0.2521,-2.1581,-0.0408
-2.9113,-0.8188,-9.7564,-0.1271,-2.2388,-0.0714
-2.9568,-0.8906,-9.8785,0.0005,-2.2175,-0.0586
-3.3303,-0.9553,-10.058,0.0698,-2.1165,-0.0432
-3.7182,-1.1277,-10.3765,0.1061,-2.048,-0.0509
-3.7397,-1.0894,-10.5872,0.113,-2.0747,-0.0306
-2.9664,-0.929,-10.5225,0.0738,-2.0851,0.0091
-2.6193,-0.9433,-10.4124,0.0019,-2.0616,-0.0301
-2.7007,-1.0463,-10.3645,-0.0853,-2.1029,-0.0642
-3.0335,-0.9242,-10.3022,-0.134,-2.2036,-0.1282
-3.1987,-0.9313,-10.1323,-0.1687,-2.3334,-0.1753
-3.3854,-1.0582,-10.0748,-0.1548,-2.4555,-0.1943
-3.7828,-0.8811,-10.0078,-0.0757,-2.5652,-0.178
-4.3215,-0.7542,-9.9671,-0.0051,-2.6537,-0.1628
-4.7022,-0.7781,-9.8737,0.0522,-2.7451,-0.1591
-4.6855,-0.8332,-9.7779,0.1111,-2.744,-0.1639
-4.9368,-0.9433,-9.5912,0.1631,-2.6763,-0.1849
-5.0254,-1.0918,-9.4619,0.1703,-2.5751,-0.1775
-5.2505,-1.1492,-9.3853,0.1511,-2.4698,-0.1775
-5.2218,-1.1708,-9.3685,0.113,-2.4022,-0.194
-5.0302,-1.1612,-9.4044,0.0594,-2.2926,-0.1663
-5.3558,-1.0846,-9.2751,0.0352,-2.1847,-0.19
-5.1427,-1.2043,-9.3829,0.025,-2.1394,-0.1849
-5.0901,-1.1444,-9.6007,0.0224,-2.0803,-0.1577
-4.7956,-1.0367,-9.5265,0.0253,-2.0571,-0.1783
-4.6663,-1.0582,-9.2105,-0.0003,-2.0227,-0.1974
-5.0829,-1.142,-8.6862,0.0117,-2.015,-0.2081
-5.2984,-1.0582,-8.2313,0.0368,-2.1061,-0.2449
-5.3439,-1.0104,-8.2696,0.0261,-2.198,-0.2366
-5.4468,-1.0247,-8.5784,0.0282,-2.2647,-0.1833
-5.5522,-0.9744,-8.7819,0.033,-2.299,-0.1809
-5.6886,-1.0606,-8.5569,0.0408,-2.3081,-0.1897
-5.6671,-1.008,-8.2384,0.0477,-2.3033,-0.2102
-5.8945,-1.0894,-7.944,0.0474,-2.27,-0.207
-6.2106,-1.0989,-7.9344,0.0682,-2.2412,-0.2025
-6.2465,-1.0918,-7.9464,0.0679,-2.2266,-0.1764
-6.3159,-1.0319,-7.8027,0.0648,-2.112,-0.1759
-6.5003,-1.0175,-7.7405,0.0637,-2.0736,-0.223
-6.2608,-0.9313,-7.5561,0.0416,-2.0456,-0.2246
-6.3614,-1.0822,-7.4675,0.0043,-2.0382,-0.2614
-6.3063,-1.1229,-7.3717,-0.0077,-2.0965,-0.2675
-6.0717,-1.0965,-7.3215,-0.0208,-2.136,-0.2801
-5.9807,-1.142,-7.422,-0.0229,-2.1943,-0.2995
-5.8419,-1.2641,-7.331,-0.0264,-2.3214,-0.3248
-5.2481,-1.2857,-7.422,-0.0043,-2.4453,-0.3051
-5.4612,-1.1923,-7.4962,0.0581,-2.5748,-0.3371
-5.7628,-1.0678,-7.4795,0.0906,-2.7547,-0.3427
-6.1052,-1.075,-7.0126,0.1204,-2.9159,-0.4048
-6.4931,-0.9673,-6.7588,0.1322,-3.0542,-0.4197
-6.7301,-1.0774,-6.608,0.1247,-3.201,-0.385
-6.6415,-1.2282,-6.5457,0.1476,-3.2471,-0.3272
-7.0126,-1.221,-6.5888,0.1849,-3.2402,-0.3517
-6.9599,-1.2546,-6.5984,0.1913,-3.3366,-0.3917
-6.3087,-1.5203,-6.4117,0.1532,-3.4483,-0.393
-6.3805,-1.6903,-6.2273,0.1431,-3.5045,-0.4183
-6.5769,-1.6328,-5.873,0.1564,-3.6228,-0.4405
-6.62,-1.585,-5.7365,0.1343,-3.7779,-0.4117
-7.3119,-1.4341,-5.7652,0.1069,-3.8725,-0.3688
-7.3358,-1.3431,-5.5019,0.0514,-3.9943,-0.3629
-7.8338,-1.2929,-5.2385,0.0224,-3.9602,-0.3912
-8.0732,-1.2665,-5.1547,0.0333,-3.8714,-0.3576
-8.3007,-1.3024,-5.138,0.0885,-3.751,-0.3192
-8.4851,-1.4126,-5.0398,0.1641,-3.5706,-0.243
-8.5784,-1.4246,-4.7788,0.231,-3.383,-0.1833
-9.086,-1.4461,-4.5083,0.2651,-3.1427,-0.1788
-9.5002,-1.4868,-4.4101,0.2763,-2.9393,-0.1716
-8.7843,-1.8004,-3.9863,0.323,-2.671,-0.1487
-8.7819,-1.8651,-3.8666,0.3405,-2.3334,-0.1535
-8.6239,-1.8316,-3.6703,0.3115,-2.1064,-0.1428
-8.5808,-1.6544,-3.5913,0.2539,-1.942,-0.1447
-8.2145,-1.5299,-3.5171,0.1673,-1.8429,-0.1191
-8.3797,-1.4126,-3.6847,0.13,-1.792,-0.1375
-8.2552,-1.2737,-3.7278,0.0975,-1.7368,-0.0911
-7.9104,-1.3216,-3.5386,0.0981,-1.6731,-0.0842
-8.0062,-1.312,-3.1436,0.138,-1.5671,-0.0983
-8.3031,-1.2737,-2.6384,0.203,-1.4967,-0.0506
-8.6981,-1.1564,-2.4636,0.2411,-1.4264,-0.0773
-9.0046,-1.2378,-2.5762,0.2321,-1.2569,-0.0168
-9.4116,-1.2785,-2.8419,0.2244,-1.0379,-0.0248
-9.1866,-1.3623,-2.8156,0.23,-0.736,-0.0021
-9.4834,-1.4413,-2.727,0.2276,-0.376,0.0317
-9.4834,-1.4581,-2.8395,0.2353,-0.0853,0.0397
-9.2632,-1.5275,-3.1053,0.2481,0.2169,0.0509
-9.268,-1.482,-3.1627,0.2526,0.498,0.0501
-8.8538,-1.6113,-2.8276,0.251,0.671,0.0725
-8.2145,-1.6951,-2.4038,0.2542,0.797,0.1023
-7.6543,-1.7549,-2.2338,0.2321,0.7994,0.1191
-7.4316,-1.7262,-2.3942,0.1617,0.6992,0.1346
-7.0366,-1.6161,-2.411,0.0541,0.5393,0.1359
