ax,ay,az,gx,gy,gz
0.2873,-0.6177,-10.4675,0.7589,0.8564,0.1359
0.3879,-0.9313,-10.8457,0.8404,0.939,0.1015
0.4717,-1.2953,-11.1977,0.8394,0.8996,0.0658
0.5914,-1.6376,-11.4754,0.7885,0.7663,0.0229
0.577,-1.9393,-11.485,0.7008,0.566,-0.0434
0.3759,-1.992,-11.4203,0.5788,0.307,-0.1228
0.067,-1.8244,-11.3509,0.425,0.0373,-0.1751
-0.3184,-1.5754,-11.4203,0.2713,-0.1884,-0.1876
-0.5076,-1.2402,-11.2336,0.1569,-0.303,-0.1612
-0.4788,-1.008,-10.6326,0.1268,-0.2364,-0.1045
-1.4126,-0.6608,-10.082,0.1711,-0.0072,-0.0592
-1.5634,-0.3519,-9.9982,0.1807,0.2033,-0.1055
-0.3352,-1.1253,-10.2208,0.2441,0.6891,-0.1031
0.9864,-1.6113,-9.6031,0.5159,1.4091,-0.141
1.4126,-2.0782,-9.1363,0.2995,-0.1138,-0.093
1.1325,-1.81,-9.6486,0.2785,-0.2086,-0.048
0.6033,-0.9649,-10.9056,0.2763,-0.2108,-0.0458
0.3711,-0.2969,-11.7196,0.2753,-0.2126,-0.0469
0.1006,-0.1053,-11.983,0.2739,-0.2092,-0.0458
-1.1277,0.0958,-13.2711,0.2747,-0.2102,-0.0461
-2.3822,-0.2131,-12.2703,0.2734,-0.2108,-0.0482
-2.6217,-1.5634,-10.8721,0.2737,-0.211,-0.0469
-3.4237,-2.3152,-12.4475,0.2761,-0.2118,-0.0445
-3.225,-1.6807,-13.69,0.2753,-0.2116,-0.044
-1.8148,-1.0822,-12.9598,0.2739,-0.2132,-0.0416
-2.1763,-1.3312,-11.5161,0.3624,0.1636,-0.0831
-0.7135,-1.585,-11.2887,-0.0658,-0.2955,0.1514
-0.4501,-1.0654,-12.2224,0.0949,-0.1042,0.2286
-3.565,-1.2953,-11.5472,0.2236,0.0448,0.211
-2.8036,-1.6017,-9.7181,0.2393,0.2193,-0.0075
-1.8771,-2.3104,-7.5537,0.1583,0.8719,-0.2158
-0.8882,-2.5043,-6.9576,0.1903,1.4885,-0.2012
0.4669,-2.2075,-7.5465,0.4002,2.5676,-0.0986
0.7159,-1.5969,-8.3677,0.5092,0.7759,-0.1535
0.6608,-1.2402,-9.0956,0.3461,-0.0901,-0.1964
0.6009,-1.3384,-9.4739,0.2942,-0.2033,-0.1175
0.5674,-1.585,-9.8881,0.2843,-0.2156,-0.101
0.5339,-1.9034,-10.173,0.2801,-0.218,-0.0965
0.9409,-1.6688,-10.3525,0.2787,-0.2204,-0.0895
1.1133,-1.6376,-10.0556,0.2801,-0.218,-0.0719
1.0008,-1.4676,-9.7348,0.2793,-0.2164,-0.0706
0.7973,-1.2977,-9.4379,0.2777,-0.2153,-0.0733
0.6105,-1.2713,-9.4595,0.2758,-0.2161,-0.0703
0.5483,-1.2641,-9.3757,0.2761,-0.2156,-0.064
0.4908,-1.4174,-9.3948,0.2761,-0.214,-0.0592
0.5842,-1.415,-9.2177,0.2766,-0.2174,-0.0629
0.735,-1.3096,-9.0836,0.2753,-0.2142,-0.0581
0.8332,-1.233,-9.2129,0.2769,-0.214,-0.0525
0.7829,-1.3024,-9.4092,0.2758,-0.2142,-0.0514
1.0056,-1.2163,-9.7252,0.2777,-0.2126,-0.0514
1.0558,-0.9601,-9.6726,0.2753,-0.2126,-0.0477
0.68,-0.8236,-9.742,0.2763,-0.2142,-0.0458
0.4429,-0.9481,-9.8402,0.275,-0.2134,-0.0464
0.3879,-1.154,-9.8474,0.2763,-0.2121,-0.0453
0.4741,-1.2857,-9.8689,0.2747,-0.2118,-0.0474
0.6273,-1.3144,-9.9886,0.2758,-0.2118,-0.0461
0.6273,-1.3216,-9.991,0.2737,-0.2116,-0.0474
0.7949,-1.3599,-9.8521,0.2755,-0.2126,-0.0469
0.9194,-1.3599,-9.6941,0.2761,-0.2129,-0.0466
0.7111,-1.2833,-9.7516,0.2755,-0.2121,-0.0461
0.3831,-1.0558,-9.9623,0.2769,-0.2116,-0.0469
-0.0144,-0.929,-10.3142,0.2734,-0.21,-0.0461
-0.3496,-0.9409,-10.5489,0.2774,-0.2124,-0.0453
-0.6536,-1.0678,-10.7739,0.2747,-0.2124,-0.0453
-0.8188,-1.0822,-10.8266,0.2755,-0.2116,-0.0458
-0.8523,-1.0894,-10.7643,0.2745,-0.2126,-0.0466
-0.747,-1.0367,-10.7164,0.275,-0.211,-0.0461
-0.6919,-1.0487,-10.7188,0.2753,-0.2134,-0.0458
-0.5411,-0.9577,-10.659,0.2745,-0.2129,-0.0456
-0.419,-0.9122,-10.6039,0.2766,-0.2134,-0.0458
-0.3424,-1.0175,-10.5129,0.2742,-0.2124,-0.0474
-0.2538,-1.1109,-10.5153,0.2753,-0.2118,-0.0458
-0.1796,-1.2258,-10.4962,0.2742,-0.214,-0.0482
-0.0958,-1.2354,-10.4579,0.2753,-0.214,-0.0482
-0.0742,-1.2043,-10.4459,0.2739,-0.2134,-0.0509
-0.0503,-1.1756,-10.3022,0.2761,-0.2134,-0.052
-0.0072,-1.1995,-10.2376,0.2753,-0.2134,-0.0514
0.0239,-1.2689,-10.2376,0.2766,-0.215,-0.0674
-0.0622,-1.2785,-10.2137,0.279,-0.2158,-0.0773
-0.1389,-1.2498,-10.2615,0.2811,-0.2129,-0.0925
-0.1796,-1.2689,-10.2735,0.2862,-0.2084,-0.1362
-0.1748,-1.2665,-10.3046,0.3,-0.1921,-0.1753
-0.0622,-1.3096,-10.4627,0.3038,-0.1769,-0.1785
0.0144,-1.2043,-10.5129,0.3147,-0.1628,-0.1937
0.0239,-1.1181,-10.5058,0.3312,-0.1029,-0.2049
-0.1053,-1.0056,-10.5417,0.364,0.0128,-0.2102
-0.2897,-1.0367,-10.6087,0.3725,0.0498,-0.1948
-0.5531,-0.9888,-10.6662,0.3768,0.0946,-0.1937
-0.7494,-0.9409,-10.6973,0.4146,0.2598,-0.1783
-0.7709,-0.9385,-10.7117,0.4604,0.5383,-0.1556
-0.7302,-1.0127,-10.8362,0.4596,0.5526,-0.1519
-0.668,-1.0487,-10.8697,0.4647,0.5849,-0.1458
-0.589,-1.1564,-10.9008,0.4975,0.8764,-0.1338
-0.5267,-1.2282,-10.9463,0.5438,1.251,-0.1159
-0.407,-1.2977,-10.9319,0.5388,1.2169,-0.1114
-0.316,-1.3719,-10.7332,0.5407,1.2068,-0.113
-0.3376,-1.3264,-10.4507,0.5646,1.5023,-0.0885
-0.3783,-1.2282,-10.2496,0.587,1.8519,-0.0826
-0.4405,-1.2282,-10.0844,0.5873,1.7866,-0.0815
-0.5507,-1.1588,-10.137,0.591,1.7816,-0.0895
-0.5243,-1.1325,-10.0317,0.5947,2.0291,-0.0829
-0.5842,-1.0726,-10.1035,0.5873,2.258,-0.073
-0.6608,-1.075,-10.1514,0.6019,2.2809,-0.0866
-0.7135,-1.1253,-10.2137,0.5945,2.2804,-0.0847
-0.6297,-1.0942,-10.2711,0.5849,2.3593,-0.0751
-0.5411,-1.154,-10.3813,0.5758,2.3441,-0.0576
-0.4932,-1.1133,-10.5393,0.5974,2.3598,-0.0738
-0.3807,-1.0965,-10.6279,0.603,2.3518,-0.0821
-0.3041,-1.1349,-10.6231,0.5862,2.3076,-0.0751
-0.1437,-1.1779,-10.5919,0.5718,2.2202,-0.0733
-0.158,-1.2881,-10.6566,0.5844,2.2663,-0.0738
-0.067,-1.2977,-10.5656,0.5921,2.2937,-0.0735
-0.1101,-1.2474,-10.5584,0.5756,2.2308,-0.0775
-0.1317,-1.1684,-10.5153,0.5646,2.116,-0.0653
-0.2801,-1.1037,-10.6087,0.5801,2.1829,-0.0778
-0.3639,-1.1923,-10.6901,0.5918,2.2098,-0.0863
-0.5842,-1.2665,-10.6039,0.5684,2.1216,-0.093
-0.5698,-1.2809,-10.4172,0.5228,1.938,-0.0767
-0.6608,-1.2546,-10.3573,0.5116,1.9569,-0.061
-0.68,-1.1827,-10.343,0.4874,1.8967,-0.0629
-0.6871,-1.1372,-10.2735,0.4415,1.5993,-0.061
-0.7566,-1.142,-10.0628,0.3688,1.2015,-0.057
-0.8332,-1.0056,-9.9551,0.3541,1.0824,-0.0648
-0.929,-0.893,-9.8617,0.3688,0.9755,-0.0709
-1.0439,-0.9457,-9.9335,0.3496,0.7341,-0.0634
-0.9553,-1.1157,-9.7252,0.3235,0.4567,-0.0557
-0.7254,-1.1708,-9.8282,0.3208,0.4626,-0.041
-0.4238,-1.324,-9.8497,0.3336,0.5337,-0.0277
-0.1365,-1.3001,-10.0341,0.3219,0.5167,-0.0048
-0.0048,-1.2857,-10.1442,0.304,0.47,0.0029
-0.0838,-1.1827,-10.3142,0.3192,0.5327,0.0011
-0.3232,-1.2402,-10.398,0.3267,0.5971,-0.0099
-0.3496,-1.1995,-10.5058,0.3166,0.5894,-0.0173
-0.3974,-1.312,-10.5273,0.2854,0.5369,-0.0224
-0.589,-1.2641,-10.6279,0.2579,0.5033,-0.0536
-0.7159,-1.1684,-10.6087,0.215,0.4634,-0.089
-0.9074,-0.996,-10.6039,0.1553,0.3555,-0.1127
-1.1109,-0.8308,-10.6949,0.1069,0.2411,-0.1372
-0.9553,-0.8547,-10.5848,0.0757,0.1764,-0.1458
-0.6081,-0.9816,-10.2663,0.0573,0.138,-0.1372
-0.51,-1.075,-9.833,0.0165,0.1018,-0.1375
-0.5746,-1.2258,-9.7612,-0.0226,0.0083,-0.1511
-0.644,-1.166,-9.754,-0.0458,-0.0818,-0.1524
