ax,ay,az,gx,gy,gz
-7.5178,-1.008,-3.0837,-0.0224,0.822,-0.0211
-7.6423,-0.917,-3.3974,0.0067,0.7466,0.0139
-7.8602,-0.9481,-3.6895,0.0149,0.6845,0.0421
-8.1666,-1.0032,-3.7062,0.0157,0.6374,0.0823
-8.6335,-1.1372,-3.7326,0.0242,0.6153,0.1268
-8.9495,-1.1133,-3.8427,0.036,0.619,0.1775
-9.3087,-1.1803,-3.9361,0.0344,0.7021,0.235
-9.7133,-1.087,-3.9217,0.1058,0.8223,0.2326
-9.8019,-0.7661,-3.6871,0.1721,0.9888,0.2683
-9.9695,-0.6249,-3.6368,0.2172,1.2217,0.2963
-10.0341,-0.644,-3.6727,0.2529,1.489,0.3387
-9.9503,-0.5052,-3.6344,0.2825,1.8186,0.3968
-10.1011,-0.6081,-3.8618,0.299,2.242,0.4858
-10.41,-0.498,-3.948,0.3757,2.6905,0.522
-11.5736,-0.3472,-3.5243,0.5279,2.9713,0.4594
-10.6686,-0.4812,-3.6871,0.635,2.9977,0.3853
-8.8873,-0.6321,-3.8188,0.8418,3.1842,0.3533
-8.248,-0.7374,-3.4836,0.9598,3.4145,0.3896
-8.181,-0.9337,-3.3351,0.9545,3.5503,0.4397
-8.5138,-1.3886,-3.4093,0.898,3.6228,0.4261
-8.6263,-1.1277,-3.5123,0.8108,3.7124,0.4359
-9.0309,-1.4269,-4.0773,0.6829,3.8946,0.4767
-9.0692,-0.917,-4.1492,0.6856,4.0398,0.4746
-8.8609,-0.5722,-4.2617,0.5804,4.2301,0.5833
-8.4084,-0.7566,-4.6663,0.497,4.4569,0.6755
-8.4228,-1.0942,-5.035,0.5468,4.7553,0.7147
-8.5688,-0.9313,-4.865,0.6406,5.0004,0.7533
-8.8681,-1.2163,-4.9512,0.818,5.2544,0.7272
-8.9184,-0.6297,-4.8315,0.8156,5.5139,0.8364
-9.177,-1.0702,-4.9775,0.7277,5.8579,0.9084
-9.1363,-1.1803,-5.1092,0.6989,6.1795,0.9665
-8.8418,-1.1732,-5.3127,0.7285,6.5491,1.0123
-8.521,-1.1229,-5.4133,0.8791,6.9219,1.0229
-7.9535,-0.7518,-5.0901,1.0781,7.2616,1.0488
-7.2664,-0.6776,-5.454,1.251,7.5897,1.0861
-6.8307,-0.8739,-5.4731,1.3638,7.8385,1.1005
-6.4069,-0.9984,-5.6599,1.4138,8.0229,1.0749
-6.213,-1.1516,-5.5785,1.4216,8.1554,1.0776
-5.7365,-1.1756,-5.8251,1.4522,8.2609,1.0781
-5.1882,-1.0511,-6.2393,1.4935,8.3824,1.068
-5.7557,-0.7566,-6.7876,1.5945,8.3064,1.1026
-4.1156,-1.2043,-6.4739,1.5465,8.3333,1.1437
-4.118,-1.4246,-7.106,1.4775,8.259,1.1628
-3.7182,-1.4198,-7.5393,1.4208,8.0512,1.1445
-2.8683,-1.506,-7.8266,1.344,7.7756,1.0986
-3.2633,-1.4054,-8.5473,1.3137,7.1156,1.1034
-0.4932,-1.4246,-8.0685,1.1591,6.4878,1.1354
-1.6592,-1.7717,-8.7005,1.0099,6.05,0.98
-0.9098,-1.3695,-9.0142,0.9028,5.2285,0.8873
-0.735,-1.5275,-8.7221,0.7847,4.5941,0.8039
-1.1157,-1.6448,-9.0285,0.6257,4.0084,0.769
-0.6009,-1.5897,-9.4308,0.4743,3.0704,0.8319
-0.6273,-1.6688,-9.0573,0.3248,2.6049,0.7562
-1.3815,-1.0511,-9.4212,0.2654,1.7272,0.6765
-1.3838,-1.2665,-8.904,0.0749,1.1863,0.6742
-2.4062,-0.7542,-8.9304,0.053,0.7965,0.5889
-2.9449,-0.7781,-8.9783,-0.0187,0.4511,0.5939
-3.4812,-0.9673,-8.7915,-0.1074,0.2142,0.6198
-3.5027,-0.6512,-8.7891,-0.0554,-0.0301,0.607
-3.8547,-0.7877,-8.8298,-0.0448,-0.1095,0.5841
-4.4005,-0.7638,-8.916,-0.0096,-0.1178,0.5161
-4.8171,-0.8021,-9.0477,0.0256,-0.0839,0.4746
-4.8267,-0.8643,-9.1818,0.0485,-0.016,0.4479
-4.628,-1.0032,-9.2991,0.0488,0.1218,0.4221
-4.4173,-1.1492,-9.3254,0.0301,0.2534,0.3805
-3.96,-1.2641,-9.4643,0.0075,0.3477,0.3427
-3.5554,-1.3551,-9.493,-0.0168,0.4077,0.3078
-3.1173,-1.2426,-9.6007,-0.0242,0.3978,0.2614
-2.9137,-1.1013,-9.6127,-0.033,0.3448,0.2113
-2.8706,-1.0558,-9.596,-0.0474,0.2763,0.162
-2.8347,-0.9529,-9.6893,-0.036,0.1628,0.1167
-3.0885,-1.0271,-9.6989,-0.0413,0.064,0.0783
-3.2513,-1.0726,-9.7827,-0.0666,-0.0349,0.0373
-3.4692,-0.9936,-9.9311,-0.0853,-0.0922,0.0037
-3.5937,-1.0032,-9.9192,-0.1058,-0.1452,-0.0139
-3.4931,-0.8619,-9.9335,-0.1106,-0.1665,-0.025
-3.371,-0.8811,-10.0126,-0.1063,-0.1761,-0.0338
-3.3399,-1.0008,-10.0485,-0.1047,-0.1809,-0.0549
-3.3088,-1.0654,-10.0413,-0.1055,-0.1764,-0.0837
-3.201,-1.166,-10.0748,-0.1013,-0.1561,-0.1018
-3.1412,-1.1157,-10.1562,-0.0951,-0.1284,-0.1098
-3.0167,-1.0965,-10.1897,-0.0933,-0.0847,-0.1119
-2.9305,-1.0415,-10.2496,-0.0869,-0.0312,-0.122
-2.8276,-1.1085,-10.3501,-0.0858,0.0248,-0.1274
-2.6935,-1.0894,-10.3382,-0.0853,0.073,-0.1298
-2.545,-1.0726,-10.41,-0.0791,0.1026,-0.125
-2.3942,-1.0678,-10.4339,-0.0829,0.1204,-0.1196
-2.3487,-1.1516,-10.4746,-0.1031,0.1276,-0.1178
-2.3679,-0.9313,-10.4866,-0.0807,0.1428,-0.1423
-2.2865,-0.8547,-10.556,-0.0701,0.1375,-0.1516
-2.1883,-0.984,-10.58,-0.0831,0.1479,-0.1495
-2.0183,-0.8667,-10.6326,-0.0568,0.141,-0.1649
-1.8028,-1.0439,-10.5991,-0.0578,0.1151,-0.1609
-1.6831,-0.9936,-10.7548,-0.0525,0.0677,-0.1681
-1.7837,-1.0439,-10.7236,-0.0344,0.0179,-0.1785
-1.8914,-0.9912,-10.6255,-0.0218,-0.0152,-0.1943
-1.9776,-1.0271,-10.6422,-0.0173,-0.0016,-0.2004
-1.9896,-1.0032,-10.6398,-0.0056,0.0386,-0.1927
-1.8507,-0.9888,-10.5656,0.0027,0.0826,-0.1849
-1.6831,-1.0199,-10.5225,0.0027,0.1282,-0.1745
-1.6233,-1.0199,-10.5824,0.0045,0.1442,-0.1665
-1.4772,-1.0247,-10.5177,0.0056,0.1479,-0.1593
-1.5036,-1.0295,-10.5201,0.0011,0.1484,-0.1535
-1.5179,-0.9601,-10.4387,0.0035,0.1343,-0.1479
-1.5395,-0.9266,-10.5441,0.0053,0.1106,-0.1359
-1.4964,-0.984,-10.5249,0.008,0.0903,-0.1292
